id	PD_meta_logFC	PD_meta_se	PD_meta_p	PD_I2	PD_tau2	PD_meta_FDR
APOC4	-0.0146832797441666	0.0398215517575835	0.71233125098114	57.6626293606522	0.00183081944489292	0.77474805064496
AQP12B	0.0100284029639509	0.0437560924376324	0.818722236814741	34.3807824283632	0.00131662081711314	0.862464706822329
ARF1P1	0.00458068702728794	0.030108635838982	0.879077585499421	0	0	0.908345329130793
ARL17B	-0.0412551807317389	0.018431493414693	0.0252016076537771	15.957862377829	0.000108537676330734	0.0421157635598698
ARPC4-TTLL3	0.0103744665208286	0.0380401360571952	0.785065213614767	0	0	0.833038745558805
ASIC3	-0.0864952805109308	0.0231087641508347	0.000181862034954318	12.4021517432794	0.00013254552451692	0.000453480942253377
ATAD3B	-0.0520931202191827	0.0305024662929387	0.0876673236188669	0	0	0.130004956015009
ATP5G2P1	-0.0923881018986132	0.0318722533392972	0.00374713196182232	0	0	0.00750289786825714
ATP5J2	-0.204881379836515	0.0301793244473736	1.13070524073075e-11	0	0	5.77989914232367e-11
AX746733	-0.0747466941118158	0.0192817878457103	0.000105950767229138	0	0	0.000274429856101701
AX747182	0.018821962888282	0.0510474750786624	0.712340267509002	0	0	0.77474805064496
AX747197	0.164441292692846	0.0324833006118354	4.14156265108796e-07	0	0	1.41693619834466e-06
AX747639	-0.0665103842380998	0.0248820658421668	0.00751706464851588	0	0	0.0139056680017388
AZGP1P1	-0.136489384833798	0.0463353365522079	0.00322238606116823	0	0	0.00654264833447474
BAGE3	-0.186258396771241	0.0274018225811014	1.06598297857644e-11	0	0	5.46512807305559e-11
BAGE4	-0.0809392007166609	0.0494280112170839	0.101522523285631	0	0	0.147406971988661
BC016751	-0.00470235943241514	0.0281312479315356	0.867245834276588	37.0380534561369	0.000615755000414938	0.89932772074744
BC017255	-0.116967237878935	0.0188986531231568	6.04765316916373e-10	0	0	2.6881895672651e-09
BC021693	0.0089772998626238	0.0146699160521633	0.540568821479657	0	0	0.618097770876081
BC024173	-0.0042768075251494	0.025066542685984	0.864524013472074	0	0	0.897040439053412
BC031974	-0.0338397275884274	0.0187867242115485	0.0716623056798543	0	0	0.108492236299292
BC034802	0.013735215957327	0.024569677664898	0.576140439181038	0	0	0.651651767456445
BC037494	0.0629548562107409	0.0138990199314645	5.91386270160596e-06	0	0	1.76277030256054e-05
BC038570	0.0256975167290731	0.0515919819114032	0.618419700672229	59.7899712606388	0.00318378718806141	0.692088499528869
BC038779	0.0130590977649407	0.016658793545664	0.433089296357453	0	0	0.514848972003593
BC040327	0.0551675006583977	0.0201034073205455	0.00606610485747222	0	0	0.011560186669174
BC040634	0.00227320278535164	0.0286085464899795	0.936667644869915	20.6869075373694	0.000340611955967638	0.954237026250828
BC043213	-0.0699730161753895	0.0264594373864603	0.00818022602684377	9.90017447530041	0.000138958218813695	0.0150446908303222
BC043576	-0.0426679365845567	0.0391006162286196	0.275169764940752	0	0	0.350362675067419
BC043580	0.00341411850995784	0.0132175763008637	0.796174303141356	0	0	0.842209944528106
BC071802	-0.0410965438926998	0.0272750700656913	0.131876328840771	0	0	0.184839564133274
BCL2L2-PABPN1	-0.0141097879234822	0.0523945698664666	0.78769985640971	0	0	0.834261030128017
BMS1P18	-0.0294756975343745	0.0273574166181291	0.281288270504203	0	0	0.357181806482284
BOLA2B	0.0813993484320206	0.0326519140447676	0.0126689314693969	0	0	0.0225831824551916
BPIFB9P	-0.0126492390694478	0.0231416807969393	0.584653677594677	0	0	0.65896763402046
BTF3P12	-0.345310740415417	0.0324175327151958	1.70704786711267e-26	0	0	2.55762861469122e-25
BTF3P13	-0.173810738384715	0.0189692844381268	5.05931090837277e-20	0	0	5.05349560847809e-19
BTN3A3	0.584313324859173	0.0556337231980652	8.38000238612287e-26	0	0	1.19380689730177e-24
BX647249	0.208953908295219	0.0431551551231171	1.28589043434058e-06	0	0	4.12339035956443e-06
C15orf38-AP3S2	0.138103574881141	0.0208812090305123	3.74646297522489e-11	14.853255650247	0.000129576919518237	1.80870906970579e-10
C16orf52	-0.181554510902586	0.0272027301178504	2.4870597145328e-11	0	0	1.21760838981916e-10
C1orf56	-1.14646342183852	0.065207795988981	3.40265469043753e-69	0	0	3.94254256798695e-67
C1QTNF3-AMACR	-0.560322050271402	0.0462098747666765	7.73003502807388e-34	0	0	1.84038368202636e-32
C1QTNF9B	-0.0294486299582174	0.0145698380331626	0.0432585449595121	0	0	0.0690016240567359
C20orf187	0.0384274001690448	0.0273087764094452	0.15938448367169	0	0	0.217092658794198
C21orf2	-0.00411666153445105	0.0213045567098581	0.846779504988583	0	0	0.8844367666287
C4B	0.749127460198794	0.0504535372699403	7.18165360666271e-50	0	0	4.02635934463864e-48
C7orf55-LUC7L2	0.0705305311717219	0.0504249675310342	0.161896246917051	18.4546495754749	0.000940788551522279	0.220168761456835
C8orf15	-0.029578038964985	0.0392349237220251	0.450927178716116	0	0	0.532412660739545
C8orf44-SGK3	0.0283843762807529	0.0293270967251033	0.333116806679762	3.64683754647059	6.27774387471789e-05	0.412362542741757
CA5BP1	-0.26464204205399	0.0502036414892218	1.35408117359339e-07	0	0	4.90290224938605e-07
CADM3	0.00763263250374766	0.0285760696369353	0.789393129356508	51.3405984904459	0.000838486375069589	0.835545224617302
CALM2	-0.0593016077658342	0.0178654224244968	0.000902269412837099	0	0	0.00201044133270625
CAMK1	0.149619110664006	0.0304539633945118	8.97114845565555e-07	0	0	2.94742079696207e-06
CAND1.11	0.0107443624542539	0.0343092877976855	0.754157647475194	6.9935452013931	0.000168776482166587	0.808590987854341
CASC7	-0.316500256968306	0.0336967019313085	5.85269542675026e-21	0	0	6.20242966566583e-20
CASP1	0.0211710027472903	0.0582213176202194	0.716134513610149	0	0	0.777901115409024
CATSPER2P1	-0.15918193500814	0.020589542341944	1.06534838147489e-14	0	0	7.06708201146321e-14
CBWD2	-0.37014654124726	0.0369880763166906	1.41727168876555e-23	0	0	1.8111898493195e-22
CCDC144B	0.216525063813864	0.0391137670825593	3.0985288526024e-08	0	0	1.19938600129687e-07
CCDC169-SOHLH2	-0.0399682578758428	0.0104225584985724	0.000125674819288715	0	0	0.000320923061900323
CCDC74B	-0.0591678842950729	0.0237482270976205	0.0127217384869925	0	0	0.0226540793958945
CCL15-CCL14	0.235627715837892	0.0330022037150038	9.34960383881315e-13	0	0	5.25877393911238e-12
CCL3L1	0.546666570191427	0.0776663902117984	1.94110678849732e-12	0	0	1.07784140524228e-11
CCT6P3	-0.305934080241034	0.0382170927123258	1.19307930543953e-15	0	0	8.42915379208902e-15
CCZ1B	-0.184386857048233	0.0536019785142528	0.000581872556358336	61.1838848344327	0.00351695220142449	0.00133065066177735
CDC37P1	-0.0284142102033086	0.0383398355949354	0.45862398507774	0	0	0.539815061180909
CDK11B	0.0779034215616888	0.0288792610094256	0.00698505515250169	0	0	0.0131243522757275
CDY1B	-0.0735593290213426	0.02560886958734	0.00407346240898823	0	0	0.00807260851404965
CEACAMP3	0.0604765089752942	0.017812687718646	0.000685943540606869	0	0	0.00156043177169468
CELA2B	-0.0470761539507251	0.0160347058011648	0.00332590798517947	0	0	0.00672925271040969
CEMP1	0.0367599934334191	0.0312507994284318	0.239479130933971	0	0	0.311072294142931
CENPVP2	-0.0121633524583497	0.0143420429224447	0.396387490152006	0	0	0.478085675145168
CEP170P1	0.106365302482735	0.0341740879012106	0.00185538449752214	0	0	0.00395663589778341
CEP290	0.0639456017025051	0.0208775336125366	0.00219210174910002	0	0	0.00464052721064048
CFC1B	0.0238264445584553	0.0236793243546934	0.31431310857606	0	0	0.393854493659115
CFHR1	0.58108748282027	0.0518928452963364	4.17822927343742e-29	0	0	7.11937497768062e-28
CGB1	0.163952238028004	0.049900551242794	0.00101772746769274	0	0	0.0022590170355683
CH17-132F21.1	1.91042207779164	0.0992820692436288	1.63563739813691e-82	0	0	9.47579265987317e-80
CHL1-AS2	-0.0228739741724143	0.0273884191203087	0.403622241348635	0	0	0.484792989263253
CHRNA7	0.113683075568028	0.0320680854255589	0.000392533539625882	0	0	0.000919438398746338
CKLF-CMTM1	0.383476308996041	0.0392020665604078	1.34468121274778e-22	0	0	1.58983397806506e-21
CKMT1B	-0.424384442501007	0.0554851428164021	2.03156996578274e-14	0	0	1.32739421072572e-13
CLCNKB	-0.0692223165740687	0.0242024535912544	0.00423458937135883	32.0160070509204	0.000375080526925507	0.0083633140084337
CLEC18C	0.0472612707397467	0.0309374998679488	0.126602679857794	0	0	0.179181968723816
CLIC1P1	6.00676334940676e-05	0.032394790655468	0.998520533427277	0	0	0.998520533427277
CNN2P10	0.0489392490192915	0.0364697711506242	0.17962430388842	0	0	0.242005457486879
CNN3P1	0.040548716396827	0.0196296262752264	0.0388577904695708	0	0	0.0624744124293378
CNTNAP3B	-0.587178000145403	0.0666789894382676	1.29642161243434e-18	0	0	1.12659038120544e-17
COMMD3-BMI1	0.300646882279028	0.0548193229979834	4.15055457738393e-08	0	0	1.58891274350072e-07
COX6B1P3	-0.0323106881755754	0.0300094199998918	0.28162107835431	0	0	0.357268200131235
COX6CP1	-0.207781402632472	0.0204896685752948	3.64146970102677e-24	0	0	4.72304055252576e-23
COX6CP2	-0.0847670824269493	0.0179689585074342	2.38857005158619e-06	0	0	7.46642940585756e-06
COX7A2P2	-0.0419377935978418	0.045524427333818	0.356938093558395	26.5386084276333	0.00110041756201934	0.437887081671082
COX7BP1	-0.246728943277085	0.0477374603857911	2.36036377301622e-07	61.556754814273	0.0028135235277203	8.33803300305324e-07
CPT1B	-0.0593749688418064	0.0471174646996412	0.207616054398179	0	0	0.274400534254019
CR1L	0.230407293569124	0.0499418252152741	3.95918202245595e-06	55.1250904790184	0.0027498662844403	1.20508902890165e-05
CRYBB2P1	0.114025408788535	0.071828876188534	0.112408685390013	0	0	0.161060424738534
CSAG3	0.0562148132093071	0.0360535930992665	0.118948717151927	0	0	0.169453172467253
CSGALNACT1	0.392327870210031	0.0436361487323761	2.45233489530095e-19	0	0	2.27922890269147e-18
CSH2	-0.0401825475965428	0.0298812584356395	0.178708951533823	60.1517683638055	0.0010742096877339	0.241146085221882
CSHL1	-0.0178960608163017	0.0225296372860338	0.427000914508518	38.6521245779384	0.00039250898317153	0.507958651208627
CSNK1E	0.0877348411398872	0.0286841413336006	0.00222334354268206	0	0	0.00470093805009905
CST6	-0.181947371113323	0.0297609395468827	9.7389999608536e-10	3.63307801323355	6.4785090946331e-05	4.26357227505379e-09
CT45A2	-0.00463790027526296	0.0122558622868819	0.705116378699012	0	0	0.7692983466283
CT47A10	-0.0525124108129028	0.0404410926580585	0.194118531424502	0	0	0.258131604908787
CTAG1B	0.0118987547654215	0.0170872803932145	0.486208675925386	0	0	0.567515566661062
CTAGE4	-0.0974473032016483	0.0507279447467822	0.0547343882575697	0	0	0.0850879846079214
CTAGE8	-0.0863175675159506	0.0445295557411849	0.0525703979118491	0	0	0.0822388402977441
CTB-113P19.4	-0.460075722371281	0.0620536465918839	1.22397219472663e-13	0	0	7.3863322028989e-13
CTB-127C13.1	0.0437046720522734	0.0181027009872345	0.0157670986391671	0	0	0.0275963921801333
CTC-241N9.1	-0.0556286352318803	0.0188238628017847	0.00312447271267846	0	0	0.00635959219048939
CTC-265F19.1	0.334930971661095	0.0442945256028538	3.98591572799226e-14	0	0	2.49191422131314e-13
CTC-378H22.2	0.0644279901805745	0.0454176603849585	0.156025318522748	0	0	0.214025645870047
CTC-400I9.1	-0.0275740983818749	0.0517265850365112	0.593982345664636	45.6041944168532	0.00245748466401992	0.667969916724062
CTD-2036P10.3	-0.072286378653012	0.0262079805864934	0.00581238380087914	36.8874848915395	0.000506762127596802	0.0111377321344299
CTD-2199O4.7	0.0578001613896398	0.0276239554347869	0.0364034055088781	0	0	0.0591300175461963
CTD-2284J15.1	0.0383611195422008	0.0269422680485953	0.154496656061802	0	0	0.212432902084978
CTD-2314B22.3	-0.0579503256232761	0.0919114743875463	0.528366499247196	0	0	0.606940499465715
CTD-2647L4.1	0.00225865351234259	0.0221216429722883	0.918676089513589	0	0	0.940317457935582
CTD-3046C4.1	0.0951610424925221	0.0385455904556413	0.0135570022548279	26.0328657292707	0.000774636608557938	0.0239939612208666
CTD-3138B18.5	0.086748888965698	0.0303565695156385	0.00426771452546967	0	0	0.00841916895035901
CTRB2	-0.0193692979358137	0.0341767795249021	0.570891836227764	23.6416486075868	0.000552293938690624	0.648079693901929
CUL4A	-0.519774387175697	0.0491279087593734	3.68869064933153e-26	0	0	5.38734819204891e-25
CXorf40B	0.135101979519112	0.0259658398485679	1.96027169243715e-07	0	0	7.01018971492957e-07
CXorf51B	0.000633879739455428	0.0268634026463784	0.981174539423976	0	0	0.984573527435838
CYCSP33	-0.129517108462427	0.0176850110849495	2.4149092014785e-13	0	0	1.41794330816542e-12
CYP21A2	0.0964063661250845	0.0236987236095339	4.74187378088575e-05	0	0	0.000127575489646741
CYP2B7P	-0.217323274800018	0.0450659869777302	1.41887568950336e-06	0	0	4.51649441090995e-06
CYP2D7P	-0.0386236469773531	0.0246813287050413	0.117607919949707	0	0	0.167956092746583
CYP3A7-CYP3AP1	-0.0294719961821884	0.0190942825678165	0.122709875219634	0	0	0.174240002558598
CYP4A22	-0.0445247999924072	0.0116834464715583	0.000138444809723364	0	0	0.000350243201308889
CYP4F3	-0.127185072588351	0.0290033241055407	1.15884845488454e-05	0	0	3.35679769098223e-05
DAPK1-IT1	0.24230715778979	0.0566643240378517	1.9012286866951e-05	0	0	5.3816538395376e-05
DAZ2	0.0166269010450019	0.0247095432812471	0.501014790681033	0	0	0.581284183046486
DCDC5	-0.00559783265793194	0.0100842719028338	0.578822646089674	0	0	0.654092170938787
DDTL	-0.116786160597101	0.0406800564711558	0.00409375443742369	0	0	0.00809436315385936
DDX12P	0.336205962656181	0.0432745824706272	7.90255048461059e-15	0	0	5.32350106288884e-14
DDX19B	-0.232464345882215	0.0222576832604438	1.55715140210429e-25	0	0	2.18252349746553e-24
DDX39B	-0.168471321901068	0.0428809776650339	8.53663584608082e-05	0	0	0.000223780891410082
DDX47	-0.133461675574872	0.0336589168481411	7.33587474626833e-05	0	0	0.000193765202264656
DEFA1B	0.115508988184596	0.0400301210176242	0.00390728143363323	0	0	0.00780558061109719
DEFB103B	-0.34407231123147	0.0575808724014674	2.29439110179582e-09	0	0	9.70231565674241e-09
DEFB104B	-0.380330851325703	0.0549630133064168	4.52409999777937e-12	0	0	2.43432996784537e-11
DEFB105B	-0.148237880134537	0.0306061883314555	1.2763875329469e-06	54.3354104966015	0.00101827552040307	4.10048342377394e-06
DEFB106B	-0.0717621938023385	0.0391229459479333	0.0666133647972845	0	0	0.101824123146597
DEFB107B	0.0248694055742126	0.0171139396342406	0.146177501525365	0	0	0.202274281569335
DEFB4B	-0.563976890243435	0.116527527190362	1.29930780722758e-06	0	0	4.15874211595127e-06
DEFT1P2	-0.0371720030806179	0.0221656325536152	0.0935403884926059	0	0	0.137890750805894
DGCR6L	-0.0767543388813801	0.0464847900133024	0.0987036555638167	0	0	0.144115903230886
DHRS4L2	-0.322935717124444	0.0327273992027313	5.76150637819407e-23	0	0	7.15249863235807e-22
DKFZP434L187	-0.0417271008748301	0.0148450961830452	0.00494132747152811	0	0	0.00958485172490608
DKFZp667J0810	2.37351858796468	0.138964948933226	2.09189513521774e-65	0	0	1.91353355000444e-63
DKKL1P1	0.00546727387359324	0.0249151980719781	0.826310977415332	0	0	0.867751346675436
DLEU2L	-0.181594658716786	0.0830327726681164	0.0287407789477812	44.6381729593203	0.00615562673976441	0.0475728322011845
DMRTC1B	0.0266825612181965	0.0279106317780521	0.3390722844771	11.3172038894313	0.000176465756316502	0.419137717227027
DNAJA1P4	0.0498551763542333	0.0279964224761869	0.0749501075500699	18.6871150565722	0.000294090996635065	0.112684504257804
DNAJC25-GNG10	-0.209834683091314	0.0410687463108596	3.23265515692285e-07	0	0	1.1214280763936e-06
DNLZ	0.0264742379269209	0.0278623549812295	0.342021064095379	0	0	0.422182250992734
DPPA3P2	0.0112817412898675	0.0243390540790297	0.642988651532106	57.1320300580107	0.000676984383180849	0.713155249752903
DPY19L1	-0.0175596208768543	0.0392489001458705	0.654592475079931	19.1226136931845	0.000594122047303428	0.724176780196639
DSTNP1	-0.037867856230599	0.0284137407536359	0.182620291500631	0	0	0.245358923172637
