ID	GSM172405	GSM172406	GSM172407	GSM172408	GSM172409	GSM172410	GSM172411	GSM172412	GSM172413	GSM172414	GSM172415	GSM172416	GSM172417	GSM172418	GSM172419	GSM172420	GSM172421	GSM172422	GSM172423	GSM172424	GSM172425	GSM172426	GSM172427	GSM172428	GSM172429	GSM172430
AAMP	6.89870081893699	6.97718532667324	5.84082336093227	6.212236246212	6.03427959644332	6.18101566159485	6.57506191143284	5.97805826911492	6.33706672675738	6.75438618907209	5.80033524421892	6.82721596384072	6.48648731928751	7.14719620809024	6.30201036057481	6.01238190091993	6.49896940119222	6.11207210599239	6.30633114196072	6.19424701064029	6.44227900863913	5.93465156913158	6.39215968734075	6.18300128275277	6.66313296556482	6.88321067092373
AANAT	0.04719139208956	2.06416991038176	3.31541552629348	2.96088458825602	1.57465082004915	1.47973179115991	3.36045525829276	2.88269651730816	2.26006559817524	0.660668989539031	2.14330439722283	2.6454522760084	4.50138166567171	1.30349383167967	1.36283920625964	4.25933925403944	2.13367048471786	5.11053920061678	3.43940364913104	3.91506618329514	3.94385974872939	2.29856487541021	2.37664438483947	2.81409514526109	1.08673007587856	0.912443923460268
AAR2	7.02682801016888	6.39228551907513	5.95915321458433	6.41113902789533	6.13723933311472	6.27944058261205	5.87145919245183	6.04431697603977	6.66313296556482	6.0141110818226	5.8456471963073	5.9607184924666	5.91540296523227	6.63871101697616	5.18222667924512	5.97681106805962	6.30980538050406	6.19922430293238	6.38082746487787	6.4053590435825	5.84367074747312	5.96227221430166	6.38082746487787	5.8256261456092	5.98889824441368	5.34003231569667
AARS	6.96617830530587	6.44272055841665	6.3082782276435	6.6332196511174	6.39480264638424	6.97281912131054	6.79388234590663	6.41224135161321	6.70492955411642	7.18098704896994	6.1664493684822	6.81517083783048	6.41811094637108	6.92263063902554	6.24854494367242	6.24489466952815	6.2650925228596	6.69640149340961	6.30158515721422	6.51705803847648	6.7413531059671	6.231320995918	6.35259097531543	6.63616242046818	6.28716129552174	6.19958060591905
AARS2	4.42513428640137	4.3571891530508	4.44404491749609	4.57639481053736	4.43869005061021	4.28559819922996	4.52177170153283	4.31387282686841	4.48872757837993	4.353040951752	5.53986755445691	4.70916316481297	4.56384265490865	4.26252715799864	3.49373814800388	4.68214661098802	3.95985723488443	4.77881733843712	4.83103697508214	4.23169216809845	4.416677299665	4.39610781523259	4.34643187932778	3.96980063272876	4.69202837838006	4.28720198829201
AARSD1	5.93831794684516	5.62836470987231	5.29001001074745	5.76649377794526	5.47125309355111	5.26486484118263	5.58800939530463	5.63642899243088	5.2820270263873	5.35545391516466	5.08808474111202	5.56453581152888	5.76260996407864	6.36984777772358	3.52106949166481	5.69840700313248	5.21232661767369	5.55520167494003	5.69792618808774	5.36946195751979	5.44512932529024	5.03421353005158	5.10501786940143	5.14325930218385	5.68173953502562	5.35576788234393
AASDH	5.55067626438636	6.36041516095944	5.93074940173318	6.02876374523715	6.02781581766864	5.87439071245237	5.94770985929515	5.67588993890693	5.81177393479759	5.86618955115236	5.98072529948678	6.00413524159443	5.92515672261724	5.37501490025739	5.84314724856854	6.14357343476836	6.42293924288039	5.96646556114587	6.09396814386654	6.18543435472952	5.93581309135753	5.87112737310835	5.68518051597741	5.52549626133661	5.43179513151807	5.84197606972417
AASDHPPT	4.94717985361378	5.18022872405184	4.97226544371466	5.32625924547462	5.10714534479053	5.16573569034267	5.20499176721672	5.43475537317454	5.01244296732905	5.10649790316962	4.81014370039375	4.75952797717716	5.41537743634532	4.75147430662081	5.34617658073001	5.13539737741581	5.73846049997785	4.95720769929826	5.05542690007156	4.82187018536153	5.00895630092947	5.10540357222738	4.85402906249892	4.64869607402802	4.62005516679066	4.7163749425266
AASS	3.70147253918501	1.02444596321059	4.02750022750184	3.82393605280467	3.32907208502537	3.57046321524702	3.8053508350346	2.44658169448658	2.19836052919525	2.22106215230961	2.69598949373341	1.52984193430014	3.01445588418278	2.12250098994226	2.7335273678982	4.03630484896649	3.82703511937233	3.61010197239063	3.66734754560568	2.35106591533411	3.20789353225678	1.60076514844306	1.83214077471102	2.97049061001424	3.74939491842874	2.05926181177874
AATF	7.5804473395708	7.18274471092791	7.78121214818515	7.36497677389313	7.29999093071942	7.47459699987543	7.53936844367684	7.26761827754319	7.30374902386953	7.49702882696699	7.739751999611	6.74483622171479	7.56908543254098	7.57151379511507	7.56802050628129	7.17260754026736	7.43468048043337	7.34391291251553	7.44411452354838	7.1611485940972	7.37718988414357	7.57019683618463	7.63442071347474	7.52300566952414	7.55408290755694	7.42475753539846
AATK	6.08214027900379	6.14163198559396	5.13610888103118	5.66809722442388	6.06733942855638	6.43568891179156	6.07079129462953	6.2566559510314	6.52507861593373	5.52035562569685	6.81159944413238	6.06470684809974	6.14595518959991	5.88509585972393	5.95557580564653	6.31299999702754	6.35999271485783	6.44495071581805	6.25627443837393	6.43360205748176	6.09897148564015	5.25626888793338	6.02115506618889	6.42748962911997	6.25134614699025	6.16594841823439
AB074162	1.59361642016177	1.61905917694507	1.4608417775849	2.96088458825602	1.8882537760506	1.69336462325529	2.92896964074163	1.40326478526804	3.83686210510544	3.02911657535302	2.51457465677734	1.74825952379591	2.83884459276634	1.15075051937564	2.02743984120066	2.73378770855028	4.45944728830649	2.40423673753692	1.18785407037559	2.45679412600351	1.35359748646288	1.05343200612031	0.8764893757112	2.94201032740884	1.0121140372753	0.732005416245858
AB488780	2.65054920882711	5.53674673245918	5.7524705469965	4.99723804888655	4.7240006494589	5.47630351899794	5.14171842515354	5.59112324273785	4.99524064744243	5.43054924257526	4.70832881516204	4.93176826368476	5.63630457973167	5.15299838414979	5.50062450381364	5.40083763482461	5.20724463591026	5.64301796937135	4.63044122254787	5.33469674403813	5.29494092691129	5.14863979459705	4.85783649962464	5.52442842720431	4.68603649490616	5.26859630652197
ABAT	5.79179633445888	5.51910102910804	5.61764816082307	5.77638270929245	6.25284814928888	6.51835450142184	5.67075087280736	5.84399251148153	5.63057095911608	5.53161466905319	6.16406012693048	5.95126044339028	6.39215968734075	6.15575810946586	5.91596832677055	6.41577737335831	6.60820119527517	6.47034976027377	6.22271216429117	6.43687283126734	5.87790551832045	6.12711075941268	5.64799976403729	5.9927254134115	6.01928094458138	5.89171318823734
ABCA1	4.52155982875813	5.27073893857606	5.04766199448575	4.22401257580592	4.74002358081386	4.39559620091898	4.60774211154446	4.28624496096378	4.38642946445984	4.71131645490869	4.36593438431937	4.51908340860654	3.92990465030725	4.18414911228172	4.46187825575349	3.99324244060838	5.44691101669244	4.86061774823737	4.69342979705212	4.24409970024642	5.0360456453646	4.74414427864715	5.32605124601454	5.34958926171282	5.84967014986582	4.49525071428997
ABCA11P	4.24200737497521	4.7263805004081	5.34821659977622	4.55983377630722	4.14468332229474	4.61138673460108	5.24235848167294	4.44891836728679	5.27870049990253	5.17302401246854	5.79215895320272	5.08343166295395	5.26370870502	4.08758438869972	4.58744077940365	4.65996118781058	5.10133981205256	5.22473518529956	5.13539737741581	5.31487545438493	4.76430140823487	4.58705027252655	5.5917881397659	3.90525288819977	6.07650128014373	4.33704479237637
ABCA12	2.39263048303988	1.09918589196271	2.79317992527982	3.20710598212128	3.99536469488561	4.0302622968531	3.92411268544511	3.79742140970666	2.83944095342714	4.43685243155757	3.58008996725957	3.74939491842874	3.45805578334901	5.05312547747643	3.29599719988133	2.36163283040769	3.3872295314841	3.4018930328688	1.70700749185761	2.40113181648053	3.59526567721931	2.90354979268285	2.66997891705706	3.74781025485496	1.63433803108167	3.7033784910579
ABCA13	1.57318924957336	0.355123479886871	0.695214524007865	0.918331824445216	-0.0894361533855763	1.87893825555223	1.71241978055408	1.70641560555801	3.19072819471764	0.922131509433217	2.43497370411803	2.34352827249304	-0.105755513643967	1.28458315976547	2.80335586652142	0.355062661591203	-1.22398959809092	2.50739774084172	0.317179979825284	3.06108063541377	0.971019171054849	1.93347233436306	1.15505249664982	0.57996767688342	1.27046978476555	0.22488145539488
ABCA17P	4.1421970274754	3.23166649727225	3.25911240984828	2.75984381914923	2.12658169905268	3.49187820170041	2.37520933588691	2.16406913078181	2.4356785528463	4.350437041044	3.27775881629072	2.61456507697325	1.24022054891534	3.62300553194981	1.86404730101197	2.93953950167251	3.37165958435197	3.0413893206745	3.80111136557215	2.79642441550262	3.85526645982403	3.50322553728154	1.04112217485338	3.85863369383034	1.95379095089095	3.74410230504635
ABCA2	3.89362604507893	3.17116675597608	4.01865477304794	2.97108618921733	3.25216439356135	3.1498086919755	3.10620437382631	3.23046956364687	3.23308455137201	3.69833020356252	3.05131131878383	3.61933385477067	3.12093264547781	4.33923300196989	3.63075396366772	3.12849716657137	3.51552266695442	3.29972833956487	3.28221200621945	3.40260592453225	2.92785392221625	2.91590768404979	2.99101448777691	3.0104380873896	3.21420030717964	2.96461700540019
ABCA3	2.47075227890793	2.49658814565068	4.25238616464916	4.63308924495785	2.96775950531572	4.142575783286	2.06181848262734	4.92297032021021	2.01206009648332	3.59635287796223	2.92189180104726	3.2096650094796	4.34615918628863	2.93881128694685	3.841836187407	3.74590617638864	3.45320317507511	2.46614866707141	4.67836128398969	2.58176608764728	3.28431256698808	4.54410611561527	2.61410799264482	2.32265451706447	3.81714974954946	3.46921916826718
ABCA4	3.77422915454278	2.67918931786971	2.06232989477596	2.26079484930885	2.82255246790113	2.98640074179519	2.52568221635803	2.44381380474933	0.966252908110422	2.03068486099868	1.49030026927962	1.95329728970345	1.78868321586699	2.94469196625472	2.60132725999608	2.28374843501163	1.76765795596272	1.21369008752477	1.02799496491221	1.69785710505379	2.93314486479458	1.60204964506955	2.20999218468714	1.95567913150251	1.8450931233657	1.62426427029773
ABCA5	1.17814036074271	3.87300496403673	1.31596871542015	3.1771007890988	3.3872295314841	3.52823142561134	3.64506422733972	2.04602252025652	3.802940937825	3.85323424424648	3.83376208501032	2.95454931397736	2.71729823211896	2.52641841561669	2.55899775740165	2.98687560541239	2.00779748000903	2.53544834871151	2.64000516369197	3.77216188600085	3.83625388033817	2.69405707234748	4.01312432011171	2.17104996424926	2.46755421310441	1.77309251535446
ABCA6	3.16940109409884	2.25772339853337	2.00214593152558	4.6158540108272	1.66896467905193	3.62947734255675	2.96386010719173	2.78095027611139	2.26006559817524	1.63340085183266	3.75017165478107	2.58215904051846	2.20766385880856	1.35317523220796	3.47414322723275	2.84068894569306	3.41560544734304	1.64631037974667	2.65732621925613	4.0342401454662	3.81025764488951	2.80544756591265	3.94402178980961	3.83743268405135	-0.182955527148421	2.03612054259195
ABCA7	6.04329796850872	6.3956249193677	5.98010608077686	5.82311171662888	6.22488588312498	5.9058215710628	5.78399107906439	5.90055492036785	5.80189731695295	6.27451612213926	6.07472454568531	5.87531954665586	6.14331202208919	6.71672772916166	5.89999027738314	6.00430146775424	6.07420458310817	5.94251185765472	6.38365888177782	6.22488588312498	5.66798968191768	5.93847801419016	6.27944058261205	5.75442275576462	6.05582272904532	6.22012937014526
ABCA8	0.874278846187683	0.188672664335999	1.37749729783505	1.35185898506254	1.34500742618455	0.904901151550204	2.25929547205072	0.458118994963888	0.904373238992427	0.719039176470961	0.735297769061724	1.20140260547568	2.35586690840437	1.89124523600461	0.975626508629834	0.706169475961053	1.19518938306134	1.21489570455424	1.44453003281408	0.157375041781923	0.901710873972333	1.50124359040108	1.49202337921191	1.90879315921955	1.39386625646208	-0.0648730709852764
ABCA9	3.275906767444	4.01668407389136	2.89965821940115	2.75077389509831	2.84504803134079	3.73418668022715	3.66359857102542	3.5489892576055	3.86655739285188	3.21548670246557	2.79704100835613	3.4021936108722	3.62261538404814	3.93614249054102	3.87867699903984	4.01120158152969	2.79642441550262	1.63035288358109	3.46709470125883	1.89178871499142	1.72073376685783	4.22713762380842	3.61798502029163	3.57406444127723	3.0738053878611	3.93973366507787
ABCB1	4.16931507251604	4.96829209482356	2.43044128216036	4.41296457745907	3.1323543613165	4.85793021991798	4.87837720273349	2.36060386425009	4.510065554688	4.26395080010879	2.8885065420746	4.37814568626538	3.93202587793672	3.54183313058511	3.88189040825388	3.85387787127052	4.1731119426126	4.20757941797769	2.10648876520174	4.62708587708212	3.34669338348199	3.43767063030891	3.22682919049095	3.71692780081094	3.40923631066959	3.71421097526072
ABCB10	6.94058893836206	6.83812954820746	7.07222847447315	7.50543106997452	7.26021148142142	7.39306673016929	7.11292560247291	7.23038091760684	7.29532985962629	7.24436649623917	7.13966471866824	7.07490054320125	6.88471624083169	6.67944692643945	6.95032439229087	7.15355816900665	7.47814853022417	7.02232545663442	7.30836265915574	6.95266823974364	7.09065288353037	7.31558504118865	6.95235733820964	7.04675622588538	7.09229211029323	6.57995882825091
ABCB11	2.5299637057017	2.9078855484896	2.39878593464856	1.29089686347706	1.49873022826205	2.32692052235284	3.30955818923318	2.44268011908692	1.59045640113491	1.79741506402485	2.85705463509159	1.21823506836957	3.30445622589735	1.88927888680714	2.18197306956411	2.26304502334545	2.19366952099499	2.50688566323583	2.07079343838675	1.41300191816157	2.91414534746636	2.19449888703423	1.36738903184535	2.53581042733662	2.2324706435647	1.03149986055078
ABCB4	0.991531114882527	0.931014236460722	2.30612131413034	2.04516157813246	1.00754440179851	2.38749853708022	1.08170688490333	2.01436823810537	1.25004057341107	2.52178984458382	1.44029771554609	0.831122153843619	0.544497420143807	3.50730494710709	1.03830576339813	1.35761898046366	0.7478885000324	2.48735098691189	1.27185172195132	0.925391142140229	1.63533312721835	2.44475734599637	0.607018300804681	2.33228433739579	1.84193862923548	2.11205845906144
