id	OP_meta_p	OP_dir_consistent	OP_mean_logFC	OP_meta_FDR
IER2	0.000492495142155245	FALSE	-0.022905801481046	0.0534011269983601
SHMT1	0.113629542213124	FALSE	0.0883703427015363	0.460159063983789
TRA2B	0.0322892992867863	FALSE	0.004828797612346	0.293757546820657
ALDH1B1	0.0628459106496562	TRUE	0.103290834234353	0.370937844138902
ACSS3	0.0293607140646964	TRUE	-0.0771339469160389	0.281676473985794
GAS6	0.0164934224602881	TRUE	-0.11001619913438	0.220541176034442
MYLIP	0.00562322608469484	FALSE	0.030028551279849	0.14350679123868
PURA	0.0248795813886531	FALSE	0.048133299339526	0.262222209906497
MCOLN1	0.141214824428155	FALSE	-0.0956513402641466	0.496376019684525
TSC22D4	0.0203218574041112	FALSE	-0.0387741251423893	0.242302356577516
VASP	0.0394564478521778	FALSE	-0.0210095279863855	0.315290107255704
H1FX	0.0646954883306634	FALSE	-0.026631320132104	0.375346170185337
TTR	0.0574900259713378	TRUE	0.0869340813719398	0.357390024390899
WDR37	0.0563785439410283	FALSE	-0.0354626682260138	0.355665011262286
TNFSF9	0.027270320355126	TRUE	-0.0822690631644983	0.273782581144005
KIAA1279	0.128007760749072	FALSE	0.085096633487948	0.479049001236943
CDK5R1	0.0735985336976608	TRUE	-0.0885433389783406	0.392785545822049
CCL25	0.161193418471774	FALSE	-0.0658750607167419	0.517262277639015
CETN3	0.0525963490623797	TRUE	0.159890941452723	0.347162160757257
MORF4L1	0.0293147635455451	FALSE	-0.0666225833527435	0.281676473985794
TK1	0.0398248116014721	FALSE	-0.0482074102566429	0.315649780659111
NFKBIB	0.00826294835750488	FALSE	-0.0122665748905828	0.166989946604104
C14orf93	0.000872820509564011	TRUE	-0.0854699472952674	0.0700145764944866
CHPF2	0.0464570368190172	TRUE	-0.0897184849759204	0.334028893265042
CKB	0.0107097750961203	FALSE	-0.0360848873000777	0.18828210705163
PQLC1	0.159516411068422	FALSE	-0.0783106403715123	0.516639984320148
KIAA0040	0.00666050270260915	TRUE	0.198650781042977	0.154761147837879
SKA1	0.169628126374005	FALSE	-0.0647488722080272	0.527104868642523
ZFP36	0.00228060095327413	FALSE	0.0251484176808885	0.102212388178559
PLAG1	0.0626396101477396	FALSE	0.102776522085685	0.370599958842767
HMGN2	0.0896027073432795	TRUE	-0.21080400394262	0.42079241165159
RHOC	0.143735288275218	FALSE	-0.0880137247648287	0.498416883225829
ELL	0.00914663887596387	FALSE	-0.0241119466386174	0.177271498541381
CHODL	0.0145931945681475	FALSE	-0.0266537661507246	0.210256967227732
DAPK3	0.000163167744529577	FALSE	0.023803175673628	0.0362776285337425
ILVBL	0.0219265190146828	TRUE	-0.0954648613197667	0.251899492510119
ZNF132	0.0420064958217938	TRUE	-0.0834323491450883	0.318900165581219
FUT7	0.17391219354179	FALSE	-0.067378899149685	0.528971132021033
DHRS7B	0.145398695995779	FALSE	0.0916532744011	0.50035684791992
CA4	0.00564459201803079	FALSE	-0.024603018514036	0.14350679123868
NFKBIE	0.164202212507667	FALSE	-0.093188182060562	0.520703768558187
HBP1	0.000353866360722921	TRUE	0.877546430418646	0.0454972172962296
TESK1	0.122030801070344	FALSE	-0.0459788219384689	0.472255035268473
CCIN	0.0160089873402122	TRUE	-0.194155909029661	0.21696377673024
SPI1	0.0811025629782892	FALSE	-0.0322593243386335	0.404718860056172
GATM	0.156584994567288	FALSE	0.10218407854922	0.513155275548692
SEC11A	0.0309122744741648	TRUE	-0.1120521446925	0.289920827347027
CEBPZ	0.141308915384218	FALSE	0.104766146411655	0.496376019684525
EIF4G1	0.00741515247038555	FALSE	0.008267644716729	0.161192131150488
ZC3H3	0.173420508855998	TRUE	-0.0655464724548354	0.528971132021033
ZNF22	0.0645946054023937	FALSE	0.160589308348554	0.375346170185337
SLC39A2	0.0351879181422754	TRUE	-0.102813390234569	0.301495107058277
TERF2	0.120280764679397	FALSE	0.0270815800770539	0.468578980571615
CMKLR1	0.0552449689837002	TRUE	0.198927022158525	0.351330736571047
KIR2DL1	0.0950398525025778	TRUE	-0.136337696824788	0.428492405211399
CDC34	0.0069731225727864	FALSE	0.001845445876601	0.156471712789466
DNAH17	0.0135819611793956	TRUE	-0.0711562564154078	0.204187605414421
VPS53	0.134662251455236	FALSE	-0.126218701832335	0.488139357883529
SLC22A13	0.101400965946382	TRUE	-0.0588923075324316	0.438180469842237
PGS1	0.0147749724353738	TRUE	-0.150125664171061	0.211733340716708
CPT2	0.00197541337202923	FALSE	0.020688345054393	0.0957231291685446
IQSEC1	0.158901265435298	TRUE	-0.0773801055464994	0.515595080260899
ANKRD46	0.122343033193106	TRUE	0.121952650055548	0.472817877769812
JAK3	0.109125527627183	TRUE	-0.0770336239327833	0.45250729603179
POLE3	0.111818515938812	TRUE	0.0771784681554152	0.456082788572012
ZNF239	0.143462189515047	TRUE	-0.0654325949864263	0.498085661632712
REM1	0.00955909776107769	FALSE	-0.00432640457280885	0.179831745312785
UQCRFS1	0.128813144540125	FALSE	-0.19366725469064	0.480287256073997
PTPN6	0.00820583439312442	FALSE	0.048384519393563	0.166926263818315
RPS18	0.0327910834340237	FALSE	-0.123012031223962	0.294392791020107
TBC1D15	0.106704316967464	FALSE	0.0868002809900404	0.447475679426645
FRS3	0.149886087305057	TRUE	-0.0641012752553168	0.505719309595992
SARM1	0.0918928274934853	FALSE	-0.0426137593157911	0.424330155147084
GUSB	0.0151403464223363	TRUE	-0.0992280619659054	0.212414120565263
CYSLTR2	0.000119441706933937	TRUE	0.208157049528693	0.0359079766534698
APCS	0.000759728588617382	TRUE	0.0875303023313118	0.0650599446857973
PRDM12	0.0138503495860793	FALSE	-0.0541632823800695	0.206307701003418
SPP1	0.144665279066761	FALSE	-0.0429221895777916	0.499059231418942
CLDN14	0.105198595184956	FALSE	-0.0686777781325295	0.445065825259588
TEX264	0.122484373158134	TRUE	-0.076191297898304	0.473041657779321
CEBPA	0.0041939906393709	FALSE	0.034445270200284	0.126142333845694
PNPLA2	0.0635798617740748	FALSE	-0.0544902334141945	0.372785616570476
CETP	0.100272122919207	FALSE	-0.042228482404102	0.436798156658043
RIN3	0.0486923894670283	TRUE	-0.111903046595209	0.339309421545291
RRP12	0.035103919408114	FALSE	-0.0849486074603354	0.301495107058277
LIPF	0.0579234268063309	FALSE	-0.0294436553209048	0.358707666060615
GMIP	0.156942756500184	FALSE	-0.107829246499111	0.513437367557874
ERP29	0.0950306287524304	FALSE	-0.095757284330734	0.428492405211399
SIVA1	0.167538368535207	TRUE	-0.123888733475992	0.525199083098898
DCPS	0.0862614354573617	TRUE	-0.0690675791131921	0.416752627461024
SERINC3	0.0970971094985118	TRUE	0.0867634534736597	0.432967620343262
CDH11	0.0606794280144665	FALSE	-0.0242391312613042	0.366135237604887
RUNX1T1	0.171362671522073	FALSE	0.0385158084738082	0.528154751940414
PAM16	0.144575672539393	FALSE	-0.112215300469463	0.499039132701423
VARS	0.0491804591112477	FALSE	-0.0167760378358488	0.340271889850333
PI15	0.13355938485202	TRUE	0.0672732127400224	0.487111567975894
JMJD6	0.0105966209021789	FALSE	-0.0120959451212095	0.188036125836943
PITPNM1	0.170397703316995	FALSE	-0.0618801704254711	0.52733188473758
SLC12A9	0.170884976167191	FALSE	-0.0777722987009585	0.527686477331094
RSF1	0.146032552025805	TRUE	0.123926456812768	0.500598580720017
FLJ11710	0.167963493649676	TRUE	0.118610320151563	0.525314645980203
TAS2R9	0.107517441214847	FALSE	0.0866149311562875	0.448418118524473
PLEK	0.00331395708704063	FALSE	0.0095133105800905	0.116337335634531
CADM4	0.098744499844708	FALSE	-0.0397905559286653	0.434795758213988
RAB8B	0.00375950612260191	FALSE	0.0608645443239515	0.122578970654052
UBTD1	0.00809347922657155	FALSE	-0.0581802014730506	0.166858110818354
CD1B	0.0175564739342169	FALSE	0.0663174576448586	0.225857924140972
SERHL	0.176864596637636	FALSE	0.0608665079682513	0.533377180419738
KHDRBS2	0.00555263824512921	TRUE	-0.0964638266471572	0.14289526848422
FSTL3	0.0679758606945675	TRUE	-0.125058817510856	0.382900301525687
