id	PD_meta_logFC	PD_meta_p	PD_I2	PD_meta_FDR
AC006026.13	-0.131799481765455	5.74258960648598e-07	0	1.47970126760268e-06
AC006129.2	0.229285476443895	9.51541094737024e-17	0	6.06250325883846e-16
AC007228.11	0.200062964308718	1.80354339995781e-06	0	4.40554066969651e-06
AC007255.8	0.0224570331190396	0.46876996977899	59.4964358537613	0.485652150769882
AC007292.3	-0.0891608495755776	0.00447622513139632	0	0.00679667250568191
AC007362.3	-0.100437651393066	4.82099528817385e-07	0	1.25152982171548e-06
AC007364.1	-0.0484991380275466	0.00268843747940803	0	0.00424692124856215
AC007389.3	0.00304695738173526	0.961443918533427	30.4028575082653	0.96594240286233
AC007401.2	-0.120595033196752	4.48391895014237e-08	0	1.30719971074378e-07
AC007557.2	-0.034043787792912	0.0623808272944832	0	0.0749409206014782
AC007787.2	-0.133182645784378	4.105482160107e-05	0	8.51351824808577e-05
AC007967.3	0.110526183712701	3.21564871788039e-05	0	6.77577756126268e-05
AC008746.12	-0.0376459759329526	0.0750848624459948	2.16943267576692	0.0886209700260704
AC008753.4	0.0751929568940896	0.0564595162622041	0	0.0685118605235048
AC009120.6	-0.212485351111693	2.10440075085577e-13	0	1.0100339633631e-12
AC009133.15	0.0852162582040225	0.00299343632147843	0	0.00469011561244845
AC009237.8	-0.169522415178009	1.43145017707075e-06	0	3.53298670550427e-06
AC009947.3	0.0479987414564615	0.0149262396499579	0	0.0204811399441834
AC010095.5	-0.0288857243496125	0.251768103930117	0	0.267661280831517
AC010524.4	-0.0871262298783735	0.0780601479010472	0	0.0918022356191685
AC010980.2	-0.0663555974971956	0.0331353314275602	0	0.0423303330943341
AC012065.7	-0.160969070170375	2.18683190036568e-07	0	5.90654192675886e-07
AC012499.1	-0.00240236181147013	0.904092000296902	0	0.913768206284614
AC013463.2	-0.0363503923544662	0.0937382152625121	7.10777980389947	0.108326255041641
AC016831.7	0.160956276529073	4.42845410665061e-08	0	1.29144748135258e-07
AC016999.2	0.109968797645179	1.18848644384552e-05	0	2.64161798985109e-05
AC017002.2	0.104649878592123	0.0209296157775734	0	0.0278870857486955
AC018462.2	-0.0400382939035931	0.149698553491929	0	0.165915743476338
AC018755.16	-0.106943695651403	0.000177342433752671	0	0.000336956228547027
AC018755.17	-0.0225441645802873	0.104715281228986	0	0.11970020454574
