"specificity","sensitivity"
0.78125,0.907103825136612
0.78125,0.912568306010929
0.765625,0.912568306010929
0.765625,0.918032786885246
0.765625,0.923497267759563
0.75,0.923497267759563
0.75,0.92896174863388
0.734375,0.92896174863388
0.734375,0.934426229508197
0.734375,0.939890710382514
0.734375,0.945355191256831
0.71875,0.945355191256831
0.703125,0.945355191256831
0.703125,0.950819672131147
0.703125,0.956284153005464
0.6875,0.956284153005464
0.671875,0.956284153005464
0.65625,0.956284153005464
0.65625,0.961748633879781
0.640625,0.961748633879781
0.625,0.961748633879781
0.609375,0.961748633879781
0.59375,0.961748633879781
0.578125,0.961748633879781
0.578125,0.967213114754098
0.5625,0.967213114754098
0.546875,0.967213114754098
0.546875,0.972677595628415
0.546875,0.978142076502732
0.53125,0.978142076502732
0.515625,0.978142076502732
0.5,0.978142076502732
0.484375,0.978142076502732
0.46875,0.978142076502732
0.46875,0.983606557377049
0.46875,0.989071038251366
0.453125,0.989071038251366
0.453125,0.994535519125683
0.453125,1
0.4375,1
0.421875,1
0.40625,1
0.390625,1
0.375,1
0.359375,1
0.34375,1
0.328125,1
0.3125,1
0.296875,1
0.28125,1
0.265625,1
0.25,1
0.234375,1
0.21875,1
0.203125,1
0.1875,1
0.171875,1
0.15625,1
0.140625,1
0.125,1
0.109375,1
0.09375,1
0.078125,1
0.0625,1
0.046875,1
0.03125,1
0.015625,1
0,1
